sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
GSM920378,0.0766083,0.006963352,0,0.11266178,0,0.033292125,0,0.037516487,0.029979709,0,0.054299415,0.013639582,0.039062933,0,0.137100551,0.153729006,0.068838176,0,0,0.123214306,0,0.113094279
GSM920379,0.116923641,0,0.036616519,0,0,0.224351929,0.038767896,0.06777808,0.006074604,0,0,0.024101235,0.053337091,0,0.073136921,0.066602685,0.084544168,0,0,0.131235694,0,0.076529537
GSM920380,0.11659182,0.003790055,0,0.086805751,0,0.126655991,0.021464916,0.080269325,0.007668303,0,0.017934034,0,0.032283137,0,0.013734485,0.224283919,0.034419979,0.0121105,0,0.131358979,0,0.090628805
GSM920381,0.0453765,0,0.011637125,0.01095055,0,0.111929428,0,0.050403288,0.040082443,0.003878647,0,0.021937302,0.060829538,0.016696962,0.01857725,0.164779412,0.022848003,0.011693393,0,0.104542461,0,0.303837697
GSM920382,0.039621065,0,0.045157059,0,0,0.203795129,0.041779985,0,0,0.040551298,0,0.094490386,0,0,0.093639065,0.149297936,0.056713049,0,0.012320474,0.016140474,0,0.20649408
GSM920383,0.111413038,0,0.032737297,0,0,0.232436649,0,0.122770585,0.016943477,0,0,0.047130908,0,0,0.107564671,0.152136163,0.023588609,0,0,0.087353413,0,0.065925189
GSM920384,0.180687414,0,0.102444453,0,0,0.194701976,0.052431066,0.098452333,0.036847252,0,0,0.026287532,0.002777443,0,0.056568232,0.165748757,0,0.004019273,0,0.057269748,0,0.021764521
GSM920385,0.095230988,0,0.03878749,0.037854737,0,0.24048319,0.072540435,0.047584316,0,0,0.031967851,0,0.010900906,0,0.056490799,0.20713271,0.003976683,0,0,0.088365057,0,0.068684837
GSM920350,0.022731416,0,0.024336505,0,0,0.197137403,0,0.072599367,0.03302884,0,0,0.094078189,0.006803432,0,0.16166677,0.169917448,0.066384383,0,0,0.092364963,0,0.058951284
GSM920351,0.044548424,0,0.004018309,0,0,0,0,0.062363206,0.031026826,0.037402787,0.005443962,0,0.552406313,0.02247872,0.003972817,0,0.017803963,0.017871944,0,0.041032472,0.00043918,0.159191077
GSM920352,0.068172109,0,0,0.033214553,0,0.152277817,0,0.087597069,0.047651964,0,0,0.04898206,0.081461705,0,0.078638894,0.225556059,0.05868131,0,0,0.11776646,0,0
GSM920353,0.052442326,0,0.054577768,0.054364667,0,0.076514994,0,0.014871451,0,0,0.03418477,0.052778678,0.460396414,0.035567676,0.09752893,0,0.043937473,0,0.022834854,0,0,0
GSM1046922,0.069472789,0.006853652,0,0.008945983,0,0.2473132,0,0.041437795,0.02908646,0,0,0.027433309,0.035478514,0,0.126764845,0.054264058,0.14895015,0,0,0.142958434,0,0.061040809
