#group	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group1	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2	group2
#condition	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN	IgAN
#cluster	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B
sample	GSM920368	GSM920369	GSM920370	GSM920371	GSM920372	GSM920373	GSM920374	GSM920375	GSM920376	GSM920377	GSM920378	GSM920379	GSM920380	GSM920381	GSM920382	GSM920383	GSM920384	GSM920385	GSM920350	GSM920351	GSM920352	GSM920353	GSM1046922	GSM1046923	GSM1046924	GSM1046925	GSM1046926	GSM920401	GSM920402	GSM920403	GSM920404	GSM920405	GSM920406	GSM920407	GSM920408	GSM920409	GSM920410	GSM920411	GSM920412	GSM920413	GSM920414	GSM920415	GSM920416	GSM920417	GSM920418	GSM920419	GSM920420	GSM920421	GSM920422	GSM920423	GSM920424	GSM920425	GSM920426	GSM920427	GSM2642335	GSM2642336	GSM2642337	GSM2642338	GSM2642339	GSM2642340	GSM2642341	GSM2642342	GSM2642343	GSM2642344	GSM2642345	GSM2642346	GSM2642347	GSM2642348	GSM2642349	GSM2642350	GSM2642351	GSM2642352	GSM2642353	GSM2642354	GSM2642355	GSM2642356	GSM2642357	GSM2642358	GSM2642359	GSM2642360	GSM2810679	GSM2810680	GSM2810681	GSM2810682	GSM2810683	GSM2810684	GSM2810685	GSM2810686	GSM2810687	GSM2810688	GSM2810689	GSM2810690	GSM2810691	GSM2810692	GSM2810693	GSM2810694	GSM2810695	GSM2810696	GSM2810697	GSM2810698	GSM2810699	GSM2810700	GSM2810701	GSM2810702	GSM2810703	GSM2810704	GSM2810705
NK cells resting	0	0	0	0	0	0.009014844	0.005134245	0.008682653	0.010698186	0	0.054299415	0	0.017934034	0	0	0	0	0.031967851	0	0.005443962	0	0.03418477	0	0	0	0	0	0.057345087	0.025664185	0.013109577	0.027305903	0	0	0	0	0	0.019123752	0.006266048	0	0	0	0	0	0	0	0	0.043642243	0	0	0.094853424	0	0	0	0	0.008140998	0.028340478	0	0	0.052789971	0	0	0	0	0.049837353	0.017391167	0	0.040868748	0.029042608	0	0	0	0	0.007509198	0	0	0	0	0	0	0	0	0.043622298	0.0160178	0	0.01876244	0.00416783	0	0	0	0	0.003371177	0.032660978	0	0	0	0	0	0	0	0	0	0	0.0680564	0	0	0	0
NK cells activated	0.080770793	0.029868968	0.055675853	0.045216205	0.028639127	0.043801781	0.008740283	0.07387952	0	0.053878101	0.013639582	0.024101235	0	0.021937302	0.094490386	0.047130908	0.026287532	0	0.094078189	0	0.04898206	0.052778678	0.027433309	0.018635347	0.070623972	0.011202022	0.02269824	0	0.067753811	0.106525034	0.038196469	0.052618403	0.072875487	0.0555112	0.048945366	0.054393294	0.037734996	0.091754615	0.122432227	0.041411858	0.085262906	0.073369748	0.021607067	0.072355551	0.019269919	0.117322153	0.052306349	0.101280757	0.073003424	0.127205792	0.056600528	0.083941706	0.071384103	0.060127588	0.091599251	0.055235222	0.099075589	0.086713132	0.126416625	0.053049897	0.098268956	0.060942274	0.056972928	0	0.073615662	0.115190196	0.021380343	0.028569226	0.069002538	0.051809678	0.039219279	0.080253116	0.048429321	0.121723713	0.072160382	0.090087386	0.017582503	0.044294658	0.021980975	0.062375606	0.099160421	0	0.072617463	0.108954445	0.042875723	0.05094943	0.070399853	0.050894128	0.021468374	0.064423702	0.047143283	0.048045708	0.131791068	0.060218023	0.105350926	0.074462574	0.0161001	0.043299204	0.019986793	0.067228353	0.104409522	0.072598957	0.123664126	0.051831988	0.085622199	0.053511208	0.062880598
Monocytes	0.019725425	0.018120215	0.011504582	0.07333814	0	0.043300511	0	0.002777301	0.121755046	0.056484595	0.039062933	0.053337091	0.032283137	0.060829538	0	0	0.002777443	0.010900906	0.006803432	0.552406313	0.081461705	0.460396414	0.035478514	0.035054463	0.025141884	0.092744072	0.02447324	0.093854882	0.299893768	0.372237419	0.340837551	0.20089342	0.277433401	0.190728036	0.012059219	0.241012439	0.350537119	0.139655602	0.224843518	0.103115938	0.153886498	0.205388757	0.147192923	0.238326092	0.130891976	0.138536057	0.232053281	0.080890719	0.076524814	0.242337612	0.199081988	0.289428188	0.231055745	0.113211506	0.128997726	0.271018738	0.067581838	0.051590535	0.285805619	0.204193798	0.29298653	0.216299942	0.133718936	0.053555849	0.307296351	0.421816511	0.358757516	0.182555046	0.362558911	0.219221678	0.007479975	0.280694876	0.42825194	0.248977167	0.098221275	0.13343927	0.186864719	0.361853464	0.123835874	0.159993348	0.122890109	0.057252258	0.291480527	0.419033401	0.362864699	0.193218728	0.326189883	0.199576192	0.010015726	0.26646297	0.414748931	0.2679969	0.250801065	0.092764127	0.139397861	0.201537988	0.180386754	0.328589282	0.124253961	0.165798017	0.063837787	0.034302093	0.283177722	0.205654921	0.300979669	0.225214688	0.125607039
Macrophages M0	0	0	0	0	0	0	0	0	0.061809425	0	0	0	0	0.016696962	0	0	0	0	0	0.02247872	0	0.035567676	0	0	0	0	0	0.017377114	0.050667682	0.0394681	0.04508643	0	0.0832819	0	0	0.041714646	0.015974234	0.035160876	0.034012419	0	0.043219166	0.030034138	0.102289608	0	0	0.027159221	0.047202024	0.012365696	0	0.012327775	0	0.055133348	0.079081621	0.142192263	0.014161311	0.029214103	0	0	0.000787309	0	0.061309219	0.100468662	0.144205713	0.0294548	0.056488609	0.054523334	0.026391282	0	0.067410941	0	0	0	0.019620306	0.007497355	0	0.046750061	0.042646392	0	0.006935691	0.144401235	0.026592478	0.037045916	0.045354423	0.053338804	0.042991078	0	0.066835555	0	0	0.023682892	0.0188614	0.054081648	0.009194824	0	0.03937605	0.020987007	0.08199072	0	0	0.118617728	0	0	0.002945725	0	0.057553372	0.10654315	0.13560479
Macrophages M1	0.129391532	0.160046003	0.120101276	0.047883548	0.09758723	0.153026259	0.095358275	0.111976963	0.011092812	0.17481128	0.137100551	0.073136921	0.013734485	0.01857725	0.093639065	0.107564671	0.056568232	0.056490799	0.16166677	0.003972817	0.078638894	0.09752893	0.126764845	0.097138674	0.063819749	0.038117585	0.108352919	0.156578071	0.048430811	0.099730566	0.105178533	0.09298321	0.033381093	0.030626727	0.150996707	0.045057988	0.123026107	0.152592752	0.119280637	0.029069918	0.079935581	0.144454662	0.019967536	0.028219097	0.17094348	0.188547792	0.131654165	0.157201863	0.119648856	0.011633555	0.163229174	0.027017372	0.037333173	0.091507405	0.158682623	0.138999165	0.172054352	0.127503133	0.016011741	0.170754375	0.030594908	0.045173461	0.096254016	0.146535931	0.054448186	0.096970642	0.101018212	0.11437866	0.018454972	0.037067864	0.129605163	0.052176601	0.114301135	0.113175342	0.034900848	0.084197747	0.016434895	0.038342057	0.161867566	0.118088439	0.149752903	0.140838053	0.052049997	0.090480339	0.102740928	0.092590011	0.0193026	0.031333292	0.138133476	0.048694348	0.118875744	0.134934965	0.107165016	0.032501953	0.084103118	0.149658987	0.016351431	0.030344437	0.156664037	0.125464693	0.146761264	0.112564866	0.013217772	0.156936645	0.023540435	0.04165393	0.084607541
Macrophages M2	0.182186887	0.237425061	0.142281851	0.265768511	0.242299779	0.244381251	0.205288888	0.242340425	0	0.138869905	0.153729006	0.066602685	0.224283919	0.164779412	0.149297936	0.152136163	0.165748757	0.20713271	0.169917448	0	0.225556059	0	0.054264058	0.156775016	0.197957507	0.087113262	0.105051484	0.133562185	0.170084222	0.020031859	0	0.095712468	0.027236801	0.277456237	0.187397052	0.270212734	0.083939302	0.10790309	0.095489709	0.354938346	0.194208652	0.061093672	0.423579522	0.288286453	0.247136766	0.07315152	0.070744208	0.114992101	0.253894311	0.072611161	0.156993118	0.115346791	0.194745679	0.308279698	0.137443463	0.081423273	0.140071482	0.245373779	0.075829516	0.137416109	0.116662096	0.203383858	0.261323097	0.158302081	0.142053544	0	0	0.078441763	0.010718533	0.291774668	0.244677739	0.25674634	0.032360486	0.101130607	0.337383404	0.213630489	0.427092562	0.235611572	0.279182568	0.12816505	0.110784975	0.155486751	0.153110434	0	0	0.115919929	0.015051515	0.274431587	0.247161444	0.26456474	0.046602059	0.07838679	0.092239926	0.374615392	0.227800823	0.047452125	0.408382392	0.248375693	0.284897782	0.126614102	0.144238262	0.259841553	0.067165909	0.140732169	0.11602872	0.20519592	0.282560647
Dendritic cells resting	0.026437001	0.031924656	0.039141724	0.013953043	0.077228159	0.034740002	0.041241325	0.032890986	0	0.03976965	0.068838176	0.084544168	0.034419979	0.022848003	0.056713049	0.023588609	0	0.003976683	0.066384383	0.017803963	0.05868131	0.043937473	0.14895015	0.097337886	0.094277964	0.072180104	0.133334256	0.022078292	0.024308336	0.005826791	0.054715096	0.010506007	0	0.046634027	0.062460259	0.029135715	0.023200949	0.040914381	0.03117145	0.017844342	0.035768838	0.035222171	0.03095253	0.034414788	0.043095231	0.040150185	0.032021729	0.029193744	0.058162996	0	0.033003308	0.010884333	0.010652386	0.010759937	0.034282355	0.024312646	0.031061704	0.061002	0	0.039016905	0	0.025336585	0.010829442	0	0.017436585	0.012793922	0.081570128	0.020071825	0.007765786	0.023835042	0.03134576	0.030911282	0.027020094	0.034026272	0.015449515	0.048234493	0.06418655	0.034279609	0.036633429	0.016841749	0.077393315	0.000766999	0.020393732	0.013268711	0.058473822	0	0.008383969	0.048247562	0.034468019	0.028357493	0.024941101	0.025138344	0.030748354	0.012050346	0.027451242	0.033848462	0.054584877	0.033656412	0.041943294	0.037929083	0.032307578	0.053873649	0	0.035421992	0.004001564	0.011139211	0.011875885
Dendritic cells activated	0	0	0	0.014264026	0	0	0	0	0	0	0	0	0.0121105	0.011693393	0	0	0.004019273	0	0	0.017871944	0	0	0	0	0	0.015369217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053892525	0	0.022228794	0.01617853	0	0	0	0	0	0.058446105	0	0.019273222	0.012146229	0	0	0	0	0	0	0.004796542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003505377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056231829	0	0.025563688	0.016771913	0
Mast cells resting	0	0	0	0	0	0	0	0.006313674	0	0	0	0	0	0	0.012320474	0	0	0	0	0	0	0.022834854	0	0	0	0	0	0	0.004924985	0.096574448	0	0	0	0.1524264	0.024037686	0	0	0	0	0	0	0	0	0	0	0	0.038037635	0	0.029055721	0.092184414	0	0	0	0.01561811	0	0.033420548	0	0.040982102	0.054226177	0	0	0	0	0	0	0.083539025	0	0	0	0.170766934	0	0	0	0	0	0	0.008637076	0	0	0	0	0	0	0.087643343	0	0	0	0.178095839	0	0	0	0.033590131	0	0	0	0	0.014184086	0	0	0	0	0.041721566	0.064585616	0	0	0	0.007037053
Mast cells activated	0.109441644	0.077524576	0.080182712	0.038236223	0.024416243	0.069704613	0.113636895	0	0.091574261	0.056950148	0.123214306	0.131235694	0.131358979	0.104542461	0.016140474	0.087353413	0.057269748	0.088365057	0.092364963	0.041032472	0.11776646	0	0.142958434	0.133634727	0.198901331	0.200690346	0.171135524	0.047743885	0	0	0.098375765	0.041440998	0.126702264	0	0.012882142	0.014283205	0.026088328	0.119547473	0.135848539	0.126249064	0.102355305	0.224588171	0.016439032	0.075399407	0.062820972	0.098355345	0	0.063947374	0.020197626	0	0.126269299	0.092264849	0.112538467	0	0.113090995	0	0.063356995	0.011542125	0	0.144625018	0.08536337	0.122506942	0.000205862	0.063834177	0.034518512	0	0.076624545	0.077768171	0.144724136	0	0.044681022	0.027263447	0.033187592	0.140683151	0.121475814	0.100563618	0.003892964	0.08804816	0.04235634	0.163339565	0.123183037	0.051668481	0.020428457	0	0.060830629	0.028590195	0.146968589	0	0.05079033	0.031883732	0.025683499	0	0.136986522	0.1162694	0.091654245	0.23432684	7.26E-05	0.085237197	0.0389702	0.152012624	0.059310544	0.007544177	0	0.147710034	0.080631003	0.110788896	0
